symbol
ENSG00000120217.13	CD274
ENSG00000178685.13	PARP10
ENSG00000173193.13	PARP14
ENSG00000167601.11	AXL
ENSG00000184979.9	USP18
ENSG00000243649.8	CFB
ENSG00000157017.15	GHRL
ENSG00000134321.11	RSAD2
ENSG00000111012.9	CYP27B1
ENSG00000148516.21	ZEB1
ENSG00000123240.16	OPTN
ENSG00000239713.7	APOBEC3G
ENSG00000115415.18	STAT1
ENSG00000112343.10	TRIM38
ENSG00000166710.17	B2M
ENSG00000110446.9	SLC15A3
ENSG00000133392.16	MYH11
ENSG00000250510.7	GPR162
ENSG00000198133.8	TMEM229B
ENSG00000105559.11	PLEKHA4
ENSG00000187098.14	MITF
ENSG00000132109.9	TRIM21
ENSG00000011422.11	PLAUR
ENSG00000260027.4	HOXB7
ENSG00000175984.14	DENND2C
ENSG00000196668.3	LINC00173
ENSG00000187608.8	ISG15
ENSG00000105825.11	TFPI2
ENSG00000113742.12	CPEB4
ENSG00000168280.12	KIF5C
ENSG00000175048.16	ZDHHC14
ENSG00000026652.13	AGPAT4
ENSG00000067066.16	SP100
ENSG00000154639.18	CXADR
ENSG00000168062.9	BATF2
ENSG00000122786.19	CALD1
ENSG00000088002.11	SULT2B1
ENSG00000113211.5	PCDHB6
ENSG00000136167.13	LCP1
ENSG00000185761.10	ADAMTSL5
ENSG00000128656.13	CHN1
ENSG00000277443.1	MARCKS
ENSG00000181264.8	TMEM136
ENSG00000163171.7	CDC42EP3
ENSG00000166920.10	C15orf48
ENSG00000196092.12	PAX5
ENSG00000095585.16	BLNK
ENSG00000221963.5	APOL6
ENSG00000124549.14	BTN2A3P
ENSG00000113532.12	ST8SIA4
ENSG00000136689.18	IL1RN
ENSG00000135378.3	PRRG4
ENSG00000119655.8	NPC2
ENSG00000154640.14	BTG3
ENSG00000179583.17	CIITA
ENSG00000243811.7	APOBEC3D
ENSG00000114450.9	GNB4
ENSG00000167680.15	SEMA6B
ENSG00000205436.7	EXOC3L4
ENSG00000142910.15	TINAGL1
ENSG00000185046.18	ANKS1B
ENSG00000129451.11	KLK10
ENSG00000100918.12	REC8
ENSG00000158470.5	B4GALT5
ENSG00000184584.12	TMEM173
ENSG00000129116.17	PALLD
ENSG00000125775.14	SDCBP2
ENSG00000180815.14	MAP3K15
ENSG00000235162.8	C12orf75
ENSG00000152778.8	IFIT5
ENSG00000112972.14	HMGCS1
ENSG00000113356.10	POLR3G
ENSG00000185880.12	TRIM69
ENSG00000196911.9	KPNA5
ENSG00000119508.17	NR4A3
ENSG00000134107.4	BHLHE40
ENSG00000178568.13	ERBB4
ENSG00000100342.20	APOL1
ENSG00000235750.9	KIAA0040
ENSG00000003096.13	KLHL13
ENSG00000167757.13	KLK11
ENSG00000130522.5	JUND
ENSG00000140511.11	HAPLN3
ENSG00000053747.15	LAMA3
ENSG00000173706.12	HEG1
ENSG00000167333.12	TRIM68
ENSG00000115756.12	HPCAL1
ENSG00000162616.8	DNAJB4
ENSG00000153563.15	CD8A
ENSG00000130052.13	STARD8
ENSG00000213928.8	IRF9
ENSG00000143199.17	ADCY10
ENSG00000119632.3	IFI27L2
ENSG00000005471.15	ABCB4
ENSG00000164611.12	PTTG1
ENSG00000101347.8	SAMHD1
ENSG00000123609.10	NMI
ENSG00000167772.11	ANGPTL4
ENSG00000164181.13	ELOVL7
ENSG00000107968.9	MAP3K8
ENSG00000204520.12	MICA
ENSG00000174721.9	FGFBP3
ENSG00000136867.10	SLC31A2
ENSG00000059378.12	PARP12
ENSG00000168404.12	MLKL
ENSG00000162694.13	EXTL2
ENSG00000234745.9	HLA-B
ENSG00000134326.11	CMPK2
ENSG00000173110.7	HSPA6
ENSG00000108375.12	RNF43
ENSG00000089327.14	FXYD5
ENSG00000182704.7	TSKU
ENSG00000112175.7	BMP5
ENSG00000069011.15	PITX1
ENSG00000213445.8	SIPA1
ENSG00000125148.6	MT2A
ENSG00000174574.15	AKIRIN1
ENSG00000104998.3	IL27RA
ENSG00000139112.10	GABARAPL1
ENSG00000160932.10	LY6E
ENSG00000133401.15	PDZD2
ENSG00000123096.11	SSPN
ENSG00000109861.15	CTSC
ENSG00000103489.11	XYLT1
ENSG00000185404.16	SP140L
ENSG00000110719.9	TCIRG1
ENSG00000164251.4	F2RL1
ENSG00000115414.18	FN1
ENSG00000105810.9	CDK6
ENSG00000164078.12	MST1R
ENSG00000139626.15	ITGB7
ENSG00000172183.14	ISG20
ENSG00000204267.13	TAP2
ENSG00000204642.13	HLA-F
ENSG00000188313.12	PLSCR1
ENSG00000151914.18	DST
ENSG00000168394.10	TAP1
ENSG00000148082.9	SHC3
ENSG00000104325.6	DECR1
ENSG00000137364.4	TPMT
